Feature,Include questionaire?,Include training?,Explanation,,,,,,,,Legend,
has_null',no,no,"Means that the instance has missing values, we delete those so this does not do anything",,,,,,,,participant,= this is the only data that we can gather in questionaire
 'wave',no,no,The number of the wave of the data collection,,,,,,,,partner,
 'gender',yes,no,Reason for choice:  we assume couples are hetero and split data based on this,,,,,,,,difference,
 'age',yes,yes,,,,,,,,,other calucalation,
 'age_o',no,no,Age of partner,,,,,,,,,
 'd_age',no,yes,Difference in age,,,,,,,,,
 'd_d_age',no,no,???,,,,,,,,,
 'race',no,no,"Key: Black/African American=1, 	European/Caucasian-American=2, 	Latino/Hispanic American=3,	Asian/Pacific Islander/Asian-American=4,	Native American=5,	Other=6",,,,,,,,,
 'race_o',no,no,Race of partner,,,,,,,,,
 'samerace',no,no,Whether the two persons have the same race or not.  ,,,,,,,,,
 'importance_same_race',no,no,How important is it that partner is of same race?,,,,,,,,,
 'importance_same_religion',no,no,How important is it that partner has same religion?,,,,,,,,,
 'd_importance_same_race',no,no,Difference in how important is it that partner is of same race?,,,,,,,,,
 'd_importance_same_religion',no,no,Difference in how important is it that partner has same religion?,,,,,,,,,
 'field',no,no,Field of study,,,,,,,,,
 'pref_o_attractive',no,no,How important does partner rate attractiveness,,,,,,,,,
 'pref_o_sincere',yes,yes,,,,,,,,,,
 'pref_o_intelligence',yes,yes,,,,,,,,,,
 'pref_o_funny',yes,yes,,,,,,,,,,
 'pref_o_ambitious',yes,yes,,,,,,,,,,
 'pref_o_shared_interests',yes,yes,,,,,,,,,,
 'd_pref_o_attractive',no,no,Difference in how important does partner rate attractiveness,,,,,,,,,
 'd_pref_o_sincere',no,no,,,,,,,,,,
 'd_pref_o_intelligence',no,no,,,,,,,,,,
 'd_pref_o_funny',no,no,,,,,,,,,,
 'd_pref_o_ambitious',no,no,,,,,,,,,,
 'd_pref_o_shared_interests',no,no,,,,,,,,,,
 'attractive_o',no,no,Rating by partner (about me) at night of event on attractiveness,,,,,,,,,
 'sinsere_o',no,no,Rating by partner (about me) at night of event on sincerity,,,,,,,,,
 'intelligence_o',no,no,Rating by partner (about me) at night of event on intelligence,,,,,,,,,
 'funny_o',no,no,Rating by partner (about me) at night of event on being funny,,,,,,,,,
 'ambitous_o',no,no,Rating by partner (about me) at night of event on being ambitious,,,,,,,,,
 'shared_interests_o',no,no,Rating by partner (about me) at night of event on shared interests,,,,,,,,,
 'd_attractive_o',no,no,,,,,,,,,,
 'd_sinsere_o',no,no,,,,,,,,,,
 'd_intelligence_o',no,no,,,,,,,,,,
 'd_funny_o',no,no,,,,,,,,,,
 'd_ambitous_o',no,no,,,,,,,,,,
 'd_shared_interests_o',no,no,,,,,,,,,,
 'attractive_important',no,no,What do you look for in a partner - attractiveness,,,,,,,,,
 'sincere_important',no,no,,,,,,,,,,
 'intellicence_important',no,no,,,,,,,,,,
 'funny_important',no,no,,,,,,,,,,
 'ambtition_important',no,no,,,,,,,,,,
 'shared_interests_important',no,no,,,,,,,,,,
 'd_attractive_important',no,no,,,,,,,,,,
 'd_sincere_important',no,no,,,,,,,,,,
 'd_intellicence_important',no,no,,,,,,,,,,
 'd_funny_important',no,no,,,,,,,,,,
 'd_ambtition_important',no,no,,,,,,,,,,
 'd_shared_interests_important',no,no,,,,,,,,,,
 'attractive',no,no,Rate yourself - attractiveness  ,,,,,,,,,
 'sincere',yes,yes,,,,,,,,,,
 'intelligence',yes,yes,,,,,,,,,,
 'funny',yes,yes,,,,,,,,,,
 'ambition',yes,yes,,,,,,,,,,
 'd_attractive',no,no,,,,,,,,,,
 'd_sincere',no,no,,,,,,,,,,
 'd_intelligence',no,no,,,,,,,,,,
 'd_funny',no,no,,,,,,,,,,
 'd_ambition',no,no,,,,,,,,,,
 'attractive_partner',no,no,Rate your partner - attractiveness,,,,,,,,,
 'sincere_partner',no,no,,,,,,,,,,
 'intelligence_partner',no,no,,,,,,,,,,
 'funny_partner',no,no,,,,,,,,,,
 'ambition_partner',no,no,,,,,,,,,,
 'shared_interests_partner',no,no,,,,,,,,,,
 'd_attractive_partner',no,no,,,,,,,,,,
 'd_sincere_partner',no,no,,,,,,,,,,
 'd_intelligence_partner',no,no,,,,,,,,,,
 'd_funny_partner',no,no,,,,,,,,,,
 'd_ambition_partner',no,no,,,,,,,,,,
 'd_shared_interests_partner',no,no,,,,,,,,,,
 'sports',yes,no,Your own interests [1-10] ,,,,,,,,,
 'tvsports',yes,no,,,,,,,,,,
 'exercise',yes,no,,,,,,,,,,
 'dining',yes,no,,,,,,,,,,
 'museums',yes,no,,,,,,,,,,
 'art',yes,no,,,,,,,,,,
 'hiking',yes,no,,,,,,,,,,
 'gaming',yes,no,,,,,,,,,,
 'clubbing',yes,no,,,,,,,,,,
 'reading',yes,no,,,,,,,,,,
 'tv',yes,no,,,,,,,,,,
 'theater',yes,no,,,,,,,,,,
 'movies',yes,no,,,,,,,,,,
 'concerts',yes,no,,,,,,,,,,
 'music',yes,no,,,,,,,,,,
 'shopping',yes,no,,,,,,,,,,
 'yoga',yes,no,,,,,,,,,,
 'd_sports',no,yes,,,,,,,,,,
 'd_tvsports',no,yes,,,,,,,,,,
 'd_exercise',no,yes,,,,,,,,,,
 'd_dining',no,yes,,,,,,,,,,
 'd_museums',no,yes,,,,,,,,,,
 'd_art',no,yes,,,,,,,,,,
 'd_hiking',no,yes,,,,,,,,,,
 'd_gaming',no,yes,,,,,,,,,,
 'd_clubbing',no,yes,,,,,,,,,,
 'd_reading',no,yes,,,,,,,,,,
 'd_tv',no,yes,,,,,,,,,,
 'd_theater',no,yes,,,,,,,,,,
 'd_movies',no,yes,,,,,,,,,,
 'd_concerts',no,yes,,,,,,,,,,
 'd_music',no,yes,,,,,,,,,,
 'd_shopping',no,yes,,,,,,,,,,
 'd_yoga',no,yes,,,,,,,,,,
 'interests_correlate',no,yes,Correlation between participant’s and partner’s ratings of interests.,,,,,,,,,
 'd_interests_correlate',no,no,,,,,,,,,,
 'expected_happy_with_sd_people',yes,no,How happy do you expect to be with the people you meet during the speed-dating event?,,,,,,,,,
 'expected_num_interested_in_me',yes,no,"Out of the 20 people you will meet, how many do you expect will be interested in dating you?",,,,,,,,,
 'expected_num_matches',yes,no,How many matches do you expect to get?,,,,,,,,,
 'd_expected_happy_with_sd_people',no,no,,,,,,,,,,
 'd_expected_num_interested_in_me',no,no,,,,,,,,,,
 'd_expected_num_matches',no,no,,,,,,,,,,
 'like',no,no,Did you like your partner?,,,,,,,,,
 'guess_prob_liked',no,no,How likely do you think it is that your partner likes you? ,,,,,,,,,
 'd_like',no,no,,,,,,,,,,
 'd_guess_prob_liked',no,no,,,,,,,,,,
 'met',no,no,Have you met your partner before? ,,,,,,,,,
 'decision',no,no,Decision at night of event.,,,,,,,,,
 'decision_o',yes,target,Decision of partner at night of event. ,,,,,,,,,
 'match',no,no,Match (yes/no),,,,,,,,,
